   139          Number of colors in the file
 Name                      RGB       R     G     B        C        M        Y        K
mint_cream                  16121850  245  255  250   0.039   0.000   0.020   0.000
slate_gray                   7372944  112  128  144   0.222   0.111   0.000   0.435
light_slate_gray             7833753  119  136  153   0.222   0.111   0.000   0.400
light_steel_blue            11584734  176  196  222   0.207   0.117   0.000   0.129
lavender                    15132410  230  230  250   0.080   0.080   0.000   0.020
floral_white                16775920  255  250  240   0.000   0.020   0.059   0.000
alice_blue                  15792383  240  248  255   0.059   0.027   0.000   0.000
ghost_white                 16316671  248  248  255   0.027   0.027   0.000   0.000
honeydew                    15794160  240  255  240   0.059   0.000   0.059   0.000
ivory                       16777200  255  255  240   0.000   0.000   0.059   0.000
azure                       15794175  240  255  255   0.059   0.000   0.000   0.000
snow                        16775930  255  250  250   0.000   0.020   0.020   0.000
dim_gray                     6908265  105  105  105   0.000   0.000   0.000   0.588
gray                         8421504  128  128  128   0.000   0.000   0.000   0.498
dark_gray                   11119017  169  169  169   0.000   0.000   0.000   0.337
silver                      12632256  192  192  192   0.000   0.000   0.000   0.247
light_gray                  13882323  211  211  211   0.000   0.000   0.000   0.173
gainsboro                   14474460  220  220  220   0.000   0.000   0.000   0.137
white_smoke                 16119285  245  245  245   0.000   0.000   0.000   0.039
white                       16777215  255  255  255   0.000   0.000   0.000   0.000
